epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9779411554336548,0.06804248690605164,1.0,0.001967306714504957
1,1.0,0.0023333013523370028,1.0,0.00016926584066823125
2,1.0,0.0009122293558903039,1.0,3.972389822592959e-05
3,1.0,0.00021914383978582919,1.0,1.618721398699563e-05
4,1.0,0.00023444024554919451,1.0,7.124821877368959e-06
5,1.0,0.00034289088216610253,1.0,2.477635234754416e-06
6,1.0,0.0003604611847549677,1.0,1.5611599337717053e-06
7,1.0,0.0006822264986112714,1.0,1.1730173810065025e-06
8,0.998161792755127,0.002156933071091771,1.0,1.2683867112173175e-07
9,0.998161792755127,0.0020524077117443085,1.0,0.0
10,1.0,0.0004901868524029851,1.0,0.0
11,1.0,0.00011269310198258609,1.0,0.0
12,1.0,5.848424189025536e-05,1.0,0.0
13,1.0,0.00010131439194083214,1.0,0.0
14,1.0,0.00012138046440668404,1.0,0.0
15,1.0,7.411691331071779e-05,1.0,0.0
16,1.0,0.0009904721518978477,1.0,0.0
17,1.0,0.0006082782056182623,1.0,0.0
18,1.0,0.00014721341722179204,1.0,0.0
19,1.0,5.096482254884904e-06,1.0,0.0
20,1.0,8.542580326320603e-05,1.0,0.0
21,1.0,2.5528235710226e-05,1.0,0.0
22,1.0,0.001134529709815979,1.0,0.0
23,1.0,3.030700645467732e-05,1.0,0.0
24,1.0,4.249269841238856e-05,1.0,0.0
25,1.0,2.5875819119391963e-05,1.0,0.0
26,1.0,7.463846850441769e-05,1.0,0.0
27,1.0,0.00011536995589267462,1.0,0.0
28,1.0,1.0427315828565042e-05,1.0,0.0
29,1.0,1.0540225048316643e-05,1.0,0.0
30,1.0,3.2911306334426627e-05,1.0,0.0
31,1.0,4.470090971153695e-06,1.0,0.0
32,1.0,1.6465761291328818e-05,1.0,0.0
33,0.998161792755127,0.006465237122029066,1.0,5.407327989814803e-07
34,0.998161792755127,0.006899697706103325,1.0,3.5190555536246393e-07
35,1.0,0.0009320159442722797,1.0,2.422331419893453e-07
36,1.0,0.0003247967688366771,1.0,1.9359582381639484e-07
37,1.0,0.00014109804760664701,1.0,8.487700142723043e-08
38,1.0,0.00029260656447149813,1.0,5.340575270906811e-08
39,1.0,4.0652746974956244e-05,1.0,2.6702881683604573e-08
40,1.0,0.00015687300765421242,1.0,1.7166136956348055e-08
41,1.0,7.11310076439986e-06,1.0,9.536743617033494e-10
42,1.0,0.00016619704547338188,1.0,0.0
43,1.0,0.00035006526741199195,1.0,1.0490417423625331e-08
44,1.0,1.5163482203206513e-06,1.0,1.525878978725359e-08
45,1.0,4.1266361222369596e-05,1.0,1.907348723406699e-09
46,1.0,1.0727728295023553e-05,1.0,9.536743617033494e-10
47,1.0,4.44287943537347e-05,1.0,0.0
48,1.0,0.00013022986240684986,1.0,0.0
49,1.0,1.9199074813514017e-05,1.0,0.0
50,1.0,2.1476636902661994e-05,1.0,0.0
51,0.998161792755127,0.0013987956335768104,1.0,0.0
52,1.0,1.717057421046775e-05,1.0,0.0
53,1.0,1.7063450286514126e-05,1.0,0.0
54,1.0,1.7179110045617563e-06,1.0,0.0
55,1.0,1.8048530137093621e-06,1.0,0.0
56,1.0,2.388770371908322e-05,1.0,0.0
57,1.0,3.2406896934844553e-06,1.0,0.0
58,0.9963235259056091,0.00825084000825882,1.0,0.0
59,1.0,1.3537452105083503e-05,1.0,0.0
60,1.0,3.0699266062583774e-05,1.0,0.0
61,1.0,6.955065714464581e-07,1.0,0.0
62,1.0,4.711117799161002e-05,1.0,0.0
63,1.0,1.573188910697354e-06,1.0,0.0
64,1.0,1.3212386420491384e-06,1.0,0.0
65,0.998161792755127,0.009604896418750286,1.0,0.0
66,1.0,0.0009675421752035618,1.0,0.0
67,1.0,0.0004081016522832215,1.0,0.0
68,1.0,1.2545118806883693e-05,1.0,0.0
69,1.0,1.3867785355614615e-06,1.0,0.0
70,1.0,0.0012334896018728614,1.0,0.0
71,0.998161792755127,0.01605340652167797,1.0,0.0
72,1.0,0.000452664855401963,1.0,6.389617368540712e-08
73,1.0,0.00014102506975177675,1.0,1.525878978725359e-08
74,1.0,0.00029800034826621413,1.0,2.2888180239988287e-08
